wavelength_nm,E_direct_W_m2_um,E_diffuse_W_m2_um
637,103.31932018068754,27.568054218019466
638,103.53789780011458,27.56182483785237
639,103.51534355013831,27.490016286179845
640,103.30788816849032,27.366542163717025
641,102.98517966113046,27.207892783075597
642,102.57860091700061,27.02010453351788
643,102.06430686355172,26.794565028049707
644,101.37993111779286,26.512799103293123
645,100.479353531656,26.162786777781086
646,99.41636427012924,25.763891951342124
647,98.38761855117674,25.378410270116593
648,97.6617835800817,25.087783796242245
649,97.42670539895622,24.945313633432754
650,97.66853950261826,24.942695961947653
651,98.15451909299873,25.01118121925574
652,98.51327595935233,25.049140822753866
653,98.39418788885534,24.96477936581242
654,97.69012847322692,24.7311821802805
655,96.7125877832408,24.429394774797874
656,96.09373140319694,24.22229444461728
657,96.36442037642165,24.245576215886445
658,97.55676896246237,24.506033640503038
659,99.22374651721901,24.887416116326857
660,100.8101992430981,25.245966906764053
661,101.97525210463448,25.493264695119745
662,102.65441228300547,25.612407770941683
663,102.96268002990132,25.6331921555429
664,103.07407953716186,25.60092468965187
665,103.12370077261109,25.551042224609866
666,103.16369523113899,25.497718115568638
667,103.18527982311424,25.43938075760387
668,103.16163060387692,25.369614055535482
669,103.07089036340292,25.283098902373954
670,102.91123421818908,25.179476697753397
671,102.71742539226616,25.06744772850295
672,102.5498744265957,24.962016519519064
673,102.45010109071372,24.873496622519312
674,102.41436280106973,24.801014569660985
675,102.41861282929952,24.738586602499062
676,102.45199036528821,24.683317095382524
677,102.51001012999059,24.633866635507513
678,102.56712791329385,24.583944515224044
679,102.57494185715572,24.5219389767526
680,102.48410552301317,24.43615276422072
681,102.24189388405294,24.314087310838254
682,101.73117721505035,24.12763519253985
683,100.68688025478023,23.812923438904004
684,98.71712474650961,23.275313154853453
685,95.56457021746655,22.45190857725157
686,91.51708261427947,21.409736099476707
687,87.53957799607208,20.37752243022206
688,84.79003463971769,19.63097795117402
689,83.85275262695731,19.31044099809574
690,84.42544935111279,19.345492097206666
691,85.6985292806553,19.544614429227316
692,86.96938899015346,19.743470110830092
693,87.98660840703081,19.889642719033166
694,88.88577330910589,20.025359713287678
695,89.85720417664265,20.200912387150073
696,90.83642160878274,20.39523742069988
697,91.50083880794244,20.517991595773175
698,91.57573009851136,20.49200732796714
699,91.13063915772204,20.331369504222614
700,90.56888667680846,20.137796232989423
701,90.34125533024304,20.025341884033335
702,90.65636510662065,20.046151348554975
703,91.40650485297871,20.17312212830507
704,92.31636992201342,20.338702447788144
705,93.15564031293009,20.487954007780658
706,93.83975894190533,20.602226133696007
707,94.38108081663385,20.685431254706998
708,94.79760766310591,20.74096201055103
709,95.07945565424976,20.764224125125587
710,95.20320695932053,20.74718779356122
711,95.12522667159998,20.677311605914106
712,94.7209183592284,20.52365051173588
713,93.7128298926717,20.221542361657367
714,91.69044598085743,19.679521136687647
715,88.31684492431461,18.827973889756034
716,83.68321760610492,17.697695580285345
717,78.5546989029842,16.46963829641953
718,74.19169215229691,15.428742678162727
719,71.71669768041859,14.821319087475844
720,71.41811522708842,14.704836055349203
721,72.53096376853418,14.904672926780105
722,73.73884424981941,15.12668410307031
723,74.06319669829503,15.152674134333711
724,73.41403689023733,14.961782797896088
725,72.37784336881084,14.684117654556596
726,71.59092276061591,14.461743220344033
727,71.35605021440523,14.362515089349843
728,71.70612240144645,14.393491629412756
729,72.63413674200038,14.552533759417408
730,74.19619608469904,14.852294974962824
731,76.417143542908,15.299622025378202
732,79.11563479977502,15.855588888273592
733,81.86064263621832,16.42415682920158
734,84.17650123464468,16.897644883622036
735,85.83904791938784,17.224864923723686
736,86.97129323494754,17.43470788527917
737,87.86340498936664,17.59542088242918
738,88.73156596838686,17.757744702444818
739,89.63257435712961,17.93351025189412
740,90.52994522172757,18.11080737533696
741,91.37553489428255,18.274489743092378
742,92.13123442005109,18.413189179972864
